"conference","year","doi","title","citationCount","download6weeks","download12months","downloadAll","keywords","pageNumber","authors"
"CHI","12","http://dx.doi.org/10.1145/2207676.2207678","Tell me more?: the effects of mental model soundness on personalizing an intelligent agent","0 ","27","457","973","debugging; mental models; music; recommenders","10","81413606637, Todd Kulesza, Oregon State University, Corvallis, Oregon, United States; 81100273684, Simone Stumpf, City University London, London, United Kingdom; 81100337865, Margaret Burnett, Oregon State University, Corvallis, Oregon, United States; 81339511043, Irwin Kwan, Oregon State University, Corvallis, Oregon, United States; "
"CHI","12","http://dx.doi.org/10.1145/2207676.2207679","Pay attention!: designing adaptive agents that monitor and improve user engagement","6 ","48","510","971","adaptive agents; electroencephalography; immediacy; user interfaces","10","81488672477, Daniel Szafir, University of Wisconsin-Madison, Madison, WI, United States; 81310500023, Bilge Mutlu, University of Wisconsin-Madison, Madison, Wisconsin, United States; "
"CHI","12","http://dx.doi.org/10.1145/2207676.2207680","Regroup: interactive machine learning for on-demand group creation in social networks","4 ","23","315","599","example and feature-based interaction; social network access control","10","81502661593, Saleema Amershi, University of Washington, Seattle, Washington, United States; 81100142271, James Fogarty, University of Washington, Seattle, Washington, United States; 81100087768, Daniel Weld, University of Washington, Seattle, Washington, United States; "
"CHI","12","http://dx.doi.org/10.1145/2207676.2207681","Monsieur, azonnal k&#246;vessen engem bitte!: an automatically generated interlanguage tailored to speakers of minority but culturally influenced languages","0 ","6","174","372","cityspeak; localization; natural language processing; user/machine systems","4","81413601851, Luis Leiva, Institut Tecnol&#242;gic d'Inform&#224;tica &#38; Universitat Polit&#232;cnica de Val&#232;ncia (UPV), Valencia, Spain; 81502691397, Vicent Alabau, Institut Tecnol&#242;gic d'Inform&#224;tica &#38; Universitat Polit&#232;cnica de Val&#232;ncia (UPV), Valencia, Spain; "
"CHI","12","http://dx.doi.org/10.1145/2207676.2207682","""Then click ok!"": extracting references to interface elements in online documentation","1 ","12","252","513","named entity recognition; user interfaces","4","81330490871, Adam Fourney, University of Waterloo, Waterloo, Ontario, Canada; 81363599874, Ben Lafreniere, University of Waterloo, Waterloo, Ontario, Canada; 81100013462, Richard Mann, University of Waterloo, Waterloo, Ontario, Canada; 81100295906, Michael Terry, University of Waterloo, Waterloo, Ontario, Canada; "
"CHI","12","http://dx.doi.org/10.1145/2207676.2207684","""Oh dear stacy!"": social interaction, elaboration, and learning with teachable agents","1 ","18","281","568","computer uses in education; impoliteness; rapport; user interfaces","10","81350583567, Amy Ogan, Carnegie Mellon University, Pittsburgh, Pennsylvania, United States; 81542030956, Samantha Finkelstein, Carnegie Mellon University, Pittsburgh, Pennsylvania, United States; 81448594864, Elijah Mayfield, Carnegie Mellon University, Pittsburgh, Pennsylvania, United States; 81502809925, Claudia D'Adamo, Wheaton College, Norton, Massachusetts, United States; 81100347450, Noboru Matsuda, Carnegie Mellon University, Pittsburgh, Pennsylvania, United States; 81100435029, Justine Cassell, Carnegie Mellon University, Pittsburgh, Pennsylvania, United States; "
"CHI","12","http://dx.doi.org/10.1145/2207676.2207685","From participatory to contributory simulations: changing the game in the classroom","3 ","11","243","544","ambient displays; contributory simulations; serious games; ubiquitous technologies","10","81484656076, Stefan Kreitmayer, Open University, Milton Keynes &#38; University College London, London, United Kingdom; 81100173923, Yvonne Rogers, University College London, London, United Kingdom; 81100283124, Robin Laney, Open University, Milton Keynes, United Kingdom; 81474687540, Stephen Peake, The Open University, Milton Keynes, United Kingdom; "
"CHI","12","http://dx.doi.org/10.1145/2207676.2207687","The impact of tutorials on games of varying complexity","5 ","38","367","692","analytics; general; tutorials","10","81502673561, Erik Andersen, University of Washington, Seattle, Washington, United States; 81466642470, Eleanor O'Rourke, University of Washington, Seattle, Washington, United States; 81464664813, Yun-En Liu, University of Washington, Seattle, Washington, United States; 81319501260, Rich Snider, University of Washington, Seattle, Washington, United States; 81502803766, Jeff Lowdermilk, University of Washington, Seattle, Washington, United States; 81502790183, David Truong, University of Washington, Seattle, Washington, United States; 81314493529, Seth Cooper, University of Washington, Seattle, Washington, United States; 81100620346, Zoran Popovic, University of Washington, Seattle, Washington, United States; "
"CHI","12","http://dx.doi.org/10.1145/2207676.2207688","Tales from the front lines of a large-scale serious game project","5 ","20","289","565","game design; learning games; reflective design","10","81100115736, Rilla Khaled, IT University of Copenhagen, Copenhagen, Denmark; 81500654416, Gordon Ingram, University of Bath, Bath, United Kingdom; "
"CHI","12","http://dx.doi.org/10.1145/2207676.2207689","Not doing but thinking: the role of challenge in the gaming experience","3 ","84","554","1,005","challenge; general","10","81350567335, Anna Cox, University College London, London, United Kingdom; 81100099774, Paul Cairns, University of York, York, United Kingdom; 81502713804, Pari Shah, University College London, London, United Kingdom; 81407592386, Michael Carroll, University of York, York, United Kingdom; "
"CHI","12","http://dx.doi.org/10.1145/2207676.2207690","Understanding user experience in stereoscopic 3D games","5 ","43","384","787","game experience; genre; miscellaneous; presence; simulator sickness.; user experience","10","81440608318, Jonas Schild, University of Duisburg-Essen, Duisburg, Germany; 81100283513, Joseph LaViola, University of Central Florida, Orlando, Florida, United States; 81100616924, Maic Masuch, University of Duisburg-Essen, Duisburg, Germany; "
"CHI","12","http://dx.doi.org/10.1145/2207676.2207692","Health promotion as activism: building community capacity to effect social change","3 ","30","546","1,015","activism; group and organization interfaces; low-income","10","81100507646, Andrea Parker, Georgia Institute of Technology, Atlanta, Georgia, United States; 81321493781, Vasudhara Kantroo, Nokia R&#38; D, Sunnyvale, California, United States; 81502784904, Hee Rin Lee, School of Informatics &#38; Computing, Indiana University, Bloomington, Bloomington, Indiana, United States; 81502793414, Miguel Osornio, Georgia Institute of Technology, Atlanta, Georgia, United States; 81502712697, Mansi Sharma, College of Computing, Georgia Institute of Technology, Atlanta, United States, Atlanta, Georgia, Georgia; 81328488487, Rebecca Grinter, College of Computing, Georgia Institute of Technology, Atlanta, Georgia, United States; "
"CHI","12","http://dx.doi.org/10.1145/2207676.2207693","Augmented perception of satiety: controlling food consumption by changing apparent size of food with augmented reality","5 ","20","387","809","augmented reality; human food interaction; perception of satiety","10","81331500452, Takuji Narumi, The University of Tokyo, Tokyo, Japan; 81488658104, Yuki Ban, The University of Tokyo, Tokyo, Japan; 81466640651, Takashi Kajinami, The University of Tokyo, Tokyo, Japan; 81100172183, Tomohiro Tanikawa, The University of Tokyo, Tokyo, Japan; 81496668464, Michitaka Hirose, The University of Tokyo, Tokyo, Japan; "
"CHI","12","http://dx.doi.org/10.1145/2207676.2207694","Laying the table for HCI: uncovering ecologies of domestic food consumption","4 ","11","203","480","augmentation; domestic technology; food; miscellaneous; tableware","10","81502803114, Annika Hupfeld, University of Nottingham, Nottingham, United Kingdom; 81100347821, Tom Rodden, University of Nottingham, Nottingham, United Kingdom; "
