"conference","year","doi","title","citationCount","download6weeks","download12months","downloadAll","keywords","pageNumber","authors"
"CHI","07","http://dx.doi.org/10.1145/1240624.1240626","A meta-analysis of the impact of the inclusion and realism of human-like faces on user experiences in interfaces","28 ","14","200","2,028","computer-mediated communication; embodied agents; meta-analysis; quantitative methods; user interfaces","10","81319504922, Nick Yee, Stanford University, Stanford, CA; 81100467213, Jeremy N Bailenson, Stanford University, Stanford, CA; 81328490249, Kathryn Rickertsen, Stanford University, Stanford, CA; "
"CHI","07","http://dx.doi.org/10.1145/1240624.1240627","Improving recognition and characterization in groupware with rich embodiments","8 ","2","109","1,042","avatars; embodiment; rich embodiment","10","81328490612, Tadeusz Stach, University of Saskatchewan, Saskatoon, SK, Canada; 81100275704, Carl Gutwin, University of Saskatchewan, Saskatoon, SK, Canada; 81100573952, David Pinelle, University of Saskatchewan, Saskatoon, SK, Canada; 81100459517, Pourang Irani, University of Manitoba, Winnipeg, MAN, Canada; "
"CHI","07","http://dx.doi.org/10.1145/1240624.1240628","Coordinating joint activity in avatar-mediated interaction","10 ","0","119","1,139","avatar-mediated interaction; conversation analysis; human factors; synchronous interaction","10","81406599272, Robert J. Moore, Palo Alto Research Center, Palo Alto, CA; 81328488556, E. Cabell Hankinson Gathman, University of Wisconsin-Madison, Madison, WI; 81100116901, Nicolas Ducheneaut, Palo Alto Research Center, Palo Alto, CA; 81311483684, Eric Nickell, Palo Alto Research Center, Palo Alto, CA; "
"CHI","07","http://dx.doi.org/10.1145/1240624.1240630","How it works: a field study of non-technical users interacting with an intelligent system","27 ","1","37","830","context-aware; field study; machine learning; miscellaneous; qualitative research","10","81100056841, Joe Tullio, Motorola Labs, Schaumburg, IL; 81100327371, Anind K. Dey, Carnegie Mellon University, Pittsburgh, PA; 81328487784, Jason Chalecki, Carnegie Mellon University, Pittsburgh, PA; 81100142271, James Fogarty, University of Washington, Seattle, WA; "
"CHI","07","http://dx.doi.org/10.1145/1240624.1240631","Matching attentional draw with utility in interruption","17 ","10","75","904","annoyance; benefit; evaluation/methodology; human factors; interruption; utility","10","81100547447, Jennifer Gluck, University of British Columbia, Vancouver, BC, Canada; 81100232130, Andrea Bunt, University of British Columbia, Vancouver, BC, Canada; 81100232506, Joanna McGrenere, University of British Columbia, Vancouver, BC, Canada; "
"CHI","07","http://dx.doi.org/10.1145/1240624.1240632","Biases in human estimation of interruptibility: effects and implications for practice","7 ","7","49","700","availability; computer mediated communication; design; human factors; measurement; ubiquitous computing; user/machine systems","11","81100367734, Daniel Avrahami, Carnegie Mellon University, Pittsburgh, PA; 81100142271, James Fogarty, University of Washington, Seattle, WA; 81328488846, Scott E. Hudson, Carnegie Mellon University, Pittsburgh, PA; "
"CHI","07","http://dx.doi.org/10.1145/1240624.1240634","Understanding videowork","45 ","3","47","960","editing; human factors; user research","10","81100166914, David Kirk, University of Nottingham, Nottingham, UK; 81100309669, Abigail Sellen, Microsoft Research Cambridge, Cambridge, UK; 81452613064, Richard Harper, Microsoft Research Cambridge, Cambridge, UK; 81344500170, Ken Wood, Microsoft Research Cambridge, Cambridge, UK; "
"CHI","07","http://dx.doi.org/10.1145/1240624.1240635","Software or wetware?: discovering when and why people use digital prosthetic memory","26 ","2","49","923","auditory feedback; digital memory; experimentation; memory; prosthetic memory; speech browsing; user-centered design","10","81384614073, Vaiva Kalnikait&#233;, The University of Sheffield, Sheffield, United Kingdom; 81100318557, Steve Whittaker, The University of Sheffield, Sheffield, United Kingdom; "
"CHI","07","http://dx.doi.org/10.1145/1240624.1240636","Do life-logging technologies support memory for the past?: an experimental study using sensecam","68 ","22","178","1,698","capture; human factors; life-logging; personal digital archives","10","81100309669, Abigail J. Sellen, Microsoft Research, Cambridge, UK; 81328488056, Andrew Fogg, Microsoft Research, Cambridge, UK; 81328487549, Mike Aitken, University of Cambridge, Cambridge, UK; 81320490166, Steve Hodges, Microsoft Research, Cambridge, UK; 81100467323, Carsten Rother, Microsoft Research, Cambridge, UK; 81344500170, Ken Wood, Microsoft Research, Cambridge, UK; "
"CHI","07","http://dx.doi.org/10.1145/1240624.1240638","An exploratory study of input configuration and group process in a negotiation task using a large display","17 ","2","65","1,034","collaboration; human factors; interaction styles; negotiation","10","81100651315, Jeremy P. Birnholtz, University of Toronto, Toronto, ON, Canada; 81100477897, Tovi Grossman, University of Toronto, Toronto, ON, Canada; 81328489697, Clarissa Mak, University of Toronto, Toronto, ON, Canada; 81100503904, Ravin Balakrishnan, University of Toronto, Toronto, ON, Canada; "
