authorid,author,numofpapers
81100177074, Jiazhi Ou,1
81100312947, Matt Adams,3
81100128576, Sara Berg,1
81100082338, Frank Biocca,1
81100328802, Steve Howard,1
81100632322, Nathan Bos,2
81100135399, Thitima Kongnakorn,2
81100570897, Janet Abrams,1
81100420528, Michael Pruett,1
81350578588, Elizabeth Goodman,1
81309487092, Wayne Churaman,1
81100563781, Ana Ramirez,1
81100584715, Katherine M. Everitt,1
81100514727, Gry Seland,1
81100142970, Wayne G. Lutters,1
81100387775, Linda Stone,1
81100296314, Boriana Koleva,2
81332501009, Rich Gold,1
81100032079, Julie A. Jacko,2
81100497370, Ragnar Bade,1
81100060639, Roderick J. Little,1
81100175439, Thad Starner,1
81100175531, Eamon Doherty,1
81100282144, Parthasarathy Ranganathan,1
81100152567, David Ray DeMaso,1
81100589811, Anna Elizabeth Hagstr,1
81100589296, Daniel M. Russell,1
81100154483, Haruo Oba,1
81100000912, Aaron Krekelberg,1
81100214428, Amit Phalgune,1
81100341017, Andrea H. Mason,1
81100059735, Lui Min Oh,1
81320490126, Justin Harris,1
81100594604, Renaud Blanch,1
81100280945, Alisa M. Marshall,1
81100263219, Jeff Sauro,1
81100335980, Ian Sommerville,1
81100499004, Martina Angela Sasse,5
81100259124, Jonathan Mansfield,1
81100554242, Mike Craven,1
81100656112, Sharon Oviatt,1
81100441911, John Halloran,1
81100522643, Jessica J. Baldis,1
81339527454, Steven Shafer,1
81100051968, Maia Garau,2
81100504057, Holger Schn,2
81100580845, Xianjun Sam Zheng,1
81100032930, James Ballas,1
81100581049, Jun Zheng,1
81100640633, Karen P. Tang,1
81100307069, Perttu inen,2
81100069016, Bo Westerlund,1
81100022759, Laura Beckwith,3
81100329457, Michael McCurdy,2
81328489038, Robert E. Kraut,3
81100092787, Gonzalo Ramos,2
81100403313, Ahmed Ghali,1
81100303456, T. J. Robertson,1
81100158845, Jerry Fails,1
81452607784, Dan McCarthy,1
81100413393, Roger Remington,1
81100066066, Daniel Robbins,1
81452616781, Sheelagh Carpendale,1
81100644686, Michel Beaudouin-Lafon,3
81100517358, Alex S. Taylor,3
81100506656, Andrea Brogni,1
81100617719, Terry Hemmings,1
81100153283, Clifford Nass,3
81328489815, Takehiko Ohno,1
81100545376, Rachel Murphy,1
81100631185, John SanGiovanni,1
81100536739, Martin R. Gibbs,1
81100301845, Francois Guimbretiere,1
81100041782, Catherine Plaisant,1
81100464780, Victoria Bellotti,5
81414609896, Francis Li,1
81342517609, Jingying Zhou,1
81100303065, Jeffrey S. Pierce,1
