"conference","year","doi","title","citationCount","download6weeks","download12months","downloadAll","keywords","pageNumber","authors"
"CHI","06","http://dx.doi.org/10.1145/1124772.1124774","Faster document navigation with space-filling thumbnails","33 ","11","118","1,883","document navigation; thumbnails; zooming","10","81100607754, Andy Cockburn, University of Canterbury, Christchurch, New Zealand; 81100275704, Carl Gutwin, University of Saskatchewan, Saskatoon SK, Canada; 81328487668, Jason Alexander, University of Canterbury, Christchurch, New Zealand; "
"CHI","06","http://dx.doi.org/10.1145/1124772.1124775","An evaluation of pan & zoom and rubber sheet navigation with and without an overview","25 ","10","69","1,256","evaluation; guaranteed visibility; methodology and techniques; overview","10","81100623436, Dmitry Nekrasovski, University of British Columbia, Vancouver, Canada; 81100381832, Adam Bodnar, University of British Columbia, Vancouver, Canada; 81100232506, Joanna McGrenere, University of British Columbia, Vancouver, Canada; 81100301845, Fran&#231;ois Guimbreti&#232;re, University of Maryland, College Park, MD; 81100047885, Tamara Munzner, University of British Columbia, Vancouver, Canada; "
"CHI","06","http://dx.doi.org/10.1145/1124772.1124776","OrthoZoom scroller: 1D multi-scale navigation","33 ","7","68","1,073","interaction technique; multi-scale navigation; scrolling task","10","81311484266, Caroline Appert, Universit&#233; Paris-Sud, Orsay, France; 81100194446, Jean-Daniel Fekete, INRIA Futurs, Orsay, France; "
"CHI","06","http://dx.doi.org/10.1145/1124772.1124778","Time based patterns in mobile-internet surfing","6 ","5","50","926","hypertext/hypermedia; miscellaneous; navigation prediction; wap","4","81310486119, Martin Halvey, University College Dublin; 81408598290, Mark T. Keane, University College Dublin; 81100297638, Barry Smyth, University College Dublin; "
"CHI","06","http://dx.doi.org/10.1145/1124772.1124779","Minimap: a web page visualization method for mobile phones","28 ","14","163","2,008","field study; minimap; narrow layout; usability","10","81100443285, Virpi Roto, Nokia Research Center, Helsinki, Finland; 81311486481, Andrei Popescu, Nokia Research Center, Helsinki, Finland; 81100104930, Antti Koivisto, Nokia Corporation, Boston, MA; 81311483189, Elina Vartiainen, Nokia Research Center, Helsinki, Finland; "
"CHI","06","http://dx.doi.org/10.1145/1124772.1124780","An examination of the effects of a wearable display on informal face-to-face communication","6 ","6","73","1,119","attention; displays; information; user interfaces; wearables","10","81311482456, Gerard McAtamney, Glasgow Caledonian University, Glasgow, UK; 81311486172, Caroline Parker; "
"CHI","06","http://dx.doi.org/10.1145/1124772.1124782","Peekaboom: a game for locating objects in images","111 ","11","113","1,545","computer vision; group and organization interfaces; object recognition; web-based games","10","81100069810, Luis von Ahn, Carnegie Mellon University, Pittsburgh, PA; 81311486203, Ruoran Liu, Carnegie Mellon University, Pittsburgh, PA; 81100159946, Manuel Blum, Carnegie Mellon University, Pittsburgh, PA; "
"CHI","06","http://dx.doi.org/10.1145/1124772.1124783","Representation of interwoven surfaces in 2 1/2 D drawing","2 ","0","22","534","braids; constraint propagation; graphics utilities; layers; surfaces","10","81311481522, Keith Wiley, University of New Mexico, Albuquerque, NM; 81100005753, Lance R. Williams, University of New Mexico, Albuquerque, NM; "
"CHI","06","http://dx.doi.org/10.1145/1124772.1124784","Verbosity: a game for collecting common-sense facts","54 ","4","85","1,030","common-sense reasoning; group and organization interfaces; web-based games","4","81100069810, Luis von Ahn, Carnegie Mellon University, Pittsburgh, PA; 81311481358, Mihir Kedia, Carnegie Mellon University, Pittsburgh, PA; 81100159946, Manuel Blum, Carnegie Mellon University, Pittsburgh, PA; "
"CHI","06","http://dx.doi.org/10.1145/1124772.1124785","Improving accessibility of the web with a computer game","32 ","3","99","1,255","accessibility; group and organization interfaces","4","81100069810, Luis von Ahn, Carnegie Mellon University, Pittsburgh, PA; 81311485910, Shiry Ginosar, Carnegie Mellon University, Pittsburgh, PA; 81311481358, Mihir Kedia, Carnegie Mellon University, Pittsburgh, PA; 81311486203, Ruoran Liu, Carnegie Mellon University, Pittsburgh, PA; 81100159946, Manuel Blum, Carnegie Mellon University, Pittsburgh, PA; "
