"""conference""","""year""","""doi""","""title""","""citationCount""","""download6weeks""","""download12months""","""downloadAll""","""keywords""","""pageNumber""","""authors"""
CHI,1,http://dx.doi.org/10.1145/365024.365047,"Responding to subtle, fleeting changes in the user's internal state",16,4,21,559,acknowledgements; ephemeral emotions; human factors; management; performance; real-time; social interaction; theory; user interfaces,8,"81332532709, Wataru Tsukahara, Hitachi Central Research Labs, 1-280 Higashi-Koigakubo, Kokubunji-shi, Tokyo 185-8601 Japan; 81100632992, Nigel Ward, Mech-Info Engineering, University of Tokyo, 7-3-1 Hongo, Bunkyo-ku, Tokyo 113-8656 Japan; "
CHI,1,http://dx.doi.org/10.1145/365024.365051,An &ldquo;independent visual background&rdquo; reduced balance disturbance envoked by visual scene motion: implication for alleviating simulator sickness,2,1,23,597,"artificial, augmented, and virtual realities; cybersickness; human factors; management; performance; simulator sickness; virtual environments; virtual reality",5,"81100369572, Henry Been-Lirn Duh, Human Interface Techology Lab, University of Washington, Seattle, WA; 81100170435, Donald E. Parker, Department of Otolaryngology, University of Washington, Seattle, WA; 81100270213, Thomas A. Furness, Human Interface Techology Lab, University of Washington, Seattle, WA; "
CHI,1,http://dx.doi.org/10.1145/365024.365054,Layered participatory analysis: new developments in the CARD technique,17,7,43,"1,009",card; group and organization interfaces; management; panda; participatory design; systems development; work analysis,8,"81332517372, Michael J. Muller; "
CHI,1,http://dx.doi.org/10.1145/365024.365056,Building a human factors &ldquo;knowledge shelf&rdquo; as a collaborative information tool for designers,0,1,40,844,collaborative work; documentation; group and organization interfaces; industrial design; knowledge shelf; performance; systems analysis and design,6,"81100478551, Brian H. Philips, Motorola, Design Integration - Human Factors, Communications Enterprise, 8000 West Sunrise Boulevard, Fort Lauderdale, FL; 81100275460, Moin Rahman, Motorola, Design Integration - Human Factors, Communications Enterprise, 8000 West Sunrise Boulevard, Fort Lauderdale, FL; 81339506713, Jari J&#228;rvinen, Motorola, Design Integration - Human Factors, Communications Enterprise, 8000 West Sunrise Boulevard, Fort Lauderdale, FL; "
CHI,1,http://dx.doi.org/10.1145/365024.365060,Global-software development lifecycle: an exploratory study,26,11,107,"2,568",design; global-software development; human factors; life cycle; management; performance; spreadsheets; usability evaluation,8,"81100426389, Alvin W. Yeo, Faculty of Information Technology, Universiti Malaysia Sarawak, 94300 Kota Samarahan, Sarawak, Malaysia; "
CHI,1,http://dx.doi.org/10.1145/365024.365061,Ignoring perfect knowledge in-the-world for imperfect knowledge in-the-head,9,2,24,794,cognitive least-effort; direct-manipulation interfaces; eye movements; human factors; interface design; satisficing,8,"81100400779, Wayne D. Gray, Human Factors and Applied Cognition, George Mason University, Fairfax, VA; 81100244379, Wai-Tat Fu, Human Factors and Applied Cognition, George Mason University, Fairfax, VA; "
CHI,1,http://dx.doi.org/10.1145/365024.365064,Predicting the effects of in-car interfaces on driver behavior using a cognitive architecture,14,4,54,"1,574",act-r; cognitive architectures; consumer products; driving; human factors; management; performance; theory,8,"81100289294, Dario D. Salvucci, Nissan Cambridge Basic Research, Four Cambridge Center, Cambridge, MA; "
CHI,1,http://dx.doi.org/10.1145/365024.365069,Towards demystification of direct manipulation: cognitive modeling charts the gulf of execution,3,1,30,636,cognitive modeling; design; human factors; management; performance,8,"81100254452, David Kieras, Electrical Engineering and Computer Science Department, University of Michigan, Ann Arbor, MI; 81100569254, David Meyer, Psychology Department, University of Michigan, Ann Arbor, MI; 81100032930, James Ballas, Naval Research Laboratory, Washington, D.C.; "
CHI,1,http://dx.doi.org/10.1145/365024.365073,Visualization components for persistent conversations,62,7,85,"1,457",asynchronous threaded discussions; design; electronic mail; management; performance; social cyberspaces; usenet,8,"81100077378, Marc A. Smith, Collaboration & Multimedia Group, Microsoft Research, One Microsoft Way, Redmond, WA; 81542582156, Andrew T. Fiore, Collaboration & Multimedia Group, Microsoft Research, One Microsoft Way, Redmond, WA; "
CHI,1,http://dx.doi.org/10.1145/365024.365077,Time Aura: interfaces for pacing,5,2,29,593,applications; human factors; measurement; performance; ubiquitous computing; user/machine systems,8,"81100538787, Lena Mamykina, Everyday Computing Lab, GVU Center, Georgia Institute of Technology, Atlanta, GA; 81100331104, Elizabeth Mynatt, Everyday Computing Lab, GVU Center, Georgia Institute of Technology, Atlanta, GA; 81100295906, Michael A. Terry, Everyday Computing Lab, GVU Center, Georgia Institute of Technology, Atlanta, GA; "
