"conference","year","doi","title","citationCount","download6weeks","download12months","downloadAll","keywords","pageNumber","authors"
"CHI","13","http://dx.doi.org/10.1145/2470654.2470656","The many faces of facebook: experiencing social media as performance, exhibition, and personal archive","2 ","199","1,017","1,017","curation; identity; personal archives","10","81482645926, Xuan Zhao, Cornell University, Ithaca, New York, USA; 81556617856, Niloufar Salehi, Cornell University, Ithaca, New York, USA; 81556556856, Sasha Naranjit, Cornell University, Ithaca, New York, USA; 81558090556, Sara Alwaalan, Cornell University, Ithaca, New York, USA; 81100147302, Stephen Voida, Cornell University, Ithaca, New York, USA; 81100288358, Dan Cosley, Cornell University, Ithaca, New York, USA; "
"CHI","13","http://dx.doi.org/10.1145/2470654.2470657","Favors from facebook friends: unpacking dimensions of social capital","0 ","77","428","428","facebook network; group and organization interfaces","10","81556564856, Yumi Jung, Michigan State University, East Lansing, Michigan, USA; 81496680553, Rebecca Gray, Michigan State University, East Lansing, Michigan, USA; 81498658466, Cliff Lampe, University of Michigan, Ann Arbor, Michigan, USA; 81758685557, Nicole Ellison, University of Michigan, Ann Arbor, USA; "
"CHI","13","http://dx.doi.org/10.1145/2470654.2470658","Quantifying the invisible audience in social networks","0 ","88","518","518","audience; information distribution","10","81553444956, Michael S. Bernstein, Stanford University &#38; Facebook Data Science, Palo Alto, California, USA; 81436598386, Eytan Bakshy; 81100241308, Moira Burke; 81436603273, Brian Karrer; "
"CHI","13","http://dx.doi.org/10.1145/2470654.2470659","Gender, topic, and audience response: an analysis of user-generated content on facebook","0 ","114","616","616","computer-mediated communication; gender; natural language analysis; topics","4","81384593188, Yi-Chia Wang, Carnegie Mellon University, Pittsburgh, Pennsylvania, USA; 81100241308, Moira Burke, Carnegie Mellon University, Pittsburgh, Pennsylvania, USA; 81328489038, Robert E. Kraut; "
"CHI","13","http://dx.doi.org/10.1145/2470654.2470660","Using contextual integrity to examine interpersonal information boundary on social network sites","0 ","65","420","420","facebook; interpersonal privacy concerns; public policy issues; user/machine systems","4","81558165156, Pan Shi, The Pennsylvania State University, University Park, Pennsylvania, USA; 81414616940, Heng Xu, The Pennsylvania State University, University Park, Pennsylvania, USA; 81460651998, Yunan Chen, University of California - Irvine, Irvine, California, USA; "
"CHI","13","http://dx.doi.org/10.1145/2470654.2470662","Older adults as digital content producers","1 ","34","324","324","miscellaneous; social connection","10","81100550581, Jenny Waycott, The University of Melbourne, Melbourne, Australia; 81100490463, Frank Vetere, The University of Melbourne, Melbourne, Australia; 81100224964, Sonja Pedell, Swinburne University of Technology, Melbourne, Australia; 81100419795, Lars Kulik, The University of Melbourne, Melbourne, Australia; 81482660502, Elizabeth Ozanne, The University of Melbourne, Melbourne, Australia; 81482653712, Alan Gruner, The University of Melbourne, Melbourne, Australia; 81416594194, John Downs; "
"CHI","13","http://dx.doi.org/10.1145/2470654.2470663","Health vlogger-viewer interaction in chronic illness management","0 ","35","239","239","chronic illness management; health vlogs; patient-centered; youtube","10","81481641570, Leslie S. Liu, University of Washington, Seattle, Washington, USA; 81328488800, Jina Huh, University of Washington, Seattle, Washington, USA; 81558323356, Tina Neogi, University of Washington, Seattle, Washington, USA; 81100519232, Kori Inkpen, Microsoft Research, Redmond, Washington, USA; 81100298117, Wanda Pratt, University of Washington, Seattle, Washington, USA; "
"CHI","13","http://dx.doi.org/10.1145/2470654.2470664","Accessible online content creation by end users","0 ","43","266","266","accessibility; user/machine systems","10","81549546256, Katie Kuksenok, University of Washington, Seattle, WA, USA; 81548896556, Michael Brooks, University of Washington, Seattle, Washington, USA; 81100650762, Jennifer Mankoff, Carnegie Mellon University, Pittsburgh, Pennsylvania, USA; "
"CHI","13","http://dx.doi.org/10.1145/2470654.2470665","Augmented endurance: controlling fatigue while handling objects by affecting weight perception using augmented reality","0 ","42","386","386","assistance for physical work; cross-modal interaction; weight perception","10","81488658104, Yuki Ban, The University of Tokyo, Tokyo, Japan; 81331500452, Takuji Narumi, The University of Tokyo, Tokyo, Japan; 81556220356, Tatsuya Fujii, The University of Tokyo, Tokyo, Japan; 81490640954, Sho Sakurai, The University of Tokyo, Tokyo, Tokyo, Japan; 81538878456, Jun Imura, The University of Tokyo, Tokyo, Japan; 81100172183, Tomohiro Tanikawa, The University of Tokyo, Tokyo, Japan; 81100257385, Michitaka Hirose, The University of Tokyo, Bunkyo-ku, Japan; "
"CHI","13","http://dx.doi.org/10.1145/2470654.2470667","In search of learning: facilitating data analysis in educational games","0 ","125","525","525","analysis of learning; educational games; logging; user interfaces","10","81556624856, Erik Harpstead, Carnegie Mellon University, Pittsburgh, Pennsylvania, USA; 81100013136, Brad A. Myers, Carnegie Mellon University, Pittsburgh, Pennsylvania, USA; 81100516901, Vincent Aleven, Carnegie Mellon University, Pittsburgh, Pennsylvania, USA; "
