"conference","year","doi","title","citationCount","download6weeks","download12months","downloadAll","keywords","pageNumber","authors"
"CHI","10","http://dx.doi.org/10.1145/1753326.1753328","Estimating residual error rate in recognized handwritten documents using artificial error injection","0 ","3","41","722","artificial error.; measurement; performance","4","81315489747, Edward Lank, University of Waterloo, Waterloo, ON, Canada; 81371591935, Ryan Stedman, University of Waterloo, Waterloo, ON, Canada; 81100295906, Michael Terry, University of Waterloo, Waterloo, ON, Canada; "
"CHI","10","http://dx.doi.org/10.1145/1753326.1753329","Predicting the cost of error correction in character-based text entry technologies","4 ","10","60","561","cognitive model; error rate; human factors; measurement; performance; prediction","10","81460652875, Ahmed Sabbir Arif, York University, Toronto, ON, Canada; 81100214718, Wolfgang Stuerzlinger, York University, Toronto, ON, Canada; "
"CHI","10","http://dx.doi.org/10.1145/1753326.1753330","SHRIMP: solving collision and out of vocabulary problems in mobile predictive input with motion gesture","4 ","5","80","940","camera phones; dictionary-based disambiguation; gestures; human factors; mobile devices; multitap; t9; theory and methods","10","81100233343, Jingtao Wang, UC Berkeley, Berkeley, CA, USA; 81408591988, Shumin Zhai, IBM Almaden Research Center, San Jose, CA, USA; 81100415489, John Canny, UC Berkeley, Berkeley, CA, USA; "
"CHI","10","http://dx.doi.org/10.1145/1753326.1753332","Reactive information foraging for evolving goals","9 ","10","76","667","experimentation; human factors; information foraging theory; testing and debugging","10","81100235486, Joseph Lawrance, Massachusetts Institute of Technology, Cambridge, MA, USA; 81100337865, Margaret Burnett, Oregon State University, Corvallis, OR, USA; 81100257325, Rachel Bellamy, IBM Research, Hawthorne, NY, USA; 81435601576, Christopher Bogart, Oregon State University, Corvallis, OR, USA; 81100027041, Calvin Swart, IBM Research, Hawthorne, NY, USA; "
"CHI","10","http://dx.doi.org/10.1145/1753326.1753333","How does search behavior change as search becomes more difficult?","34 ","25","298","1,755","behavioral signals; human factors; search engines; web search","10","81100241569, Anne Aula, Google, Mountain View, CA, USA; 81460651387, Rehan M. Khan, Google, Mountain View, CA, USA; 81543102656, Zhiwei Guan, Google, Mountain View, CA, USA; "
"CHI","10","http://dx.doi.org/10.1145/1753326.1753334","Effects of popularity and quality on the usage of query suggestions during information search","7 ","6","74","677","human factors; query popularity; query recommendation; search behavior; usage","10","81100523980, Diane Kelly, University of North Carolina at Chapel Hill, Chapel Hill, NC, USA; 81460656232, Amber Cushing, University of North Carolina at Chapel Hill, Chapel Hill, NC, USA; 81438597097, Maureen Dostert, University of North Carolina at Chapel Hill, Chapel Hill, NC, USA; 81460642311, Xi Niu, University of North Carolina at Chapel Hill, Chapel Hill, NC, USA; 81100532446, Karl Gyllstrom, University of North Carolina at Chapel Hill, Chapel Hill, NC, USA; "
"CHI","10","http://dx.doi.org/10.1145/1753326.1753336","Space to think: large high-resolution displays for sensemaking","26 ","19","236","1,491","experimentation; large","10","81406595222, Christopher Andrews, Virginia Polytechnic Institute and State University, Blacksburg, VA, USA; 81460654929, Alex Endert, Virginia Polytechnic Institute and State University, Blacksburg, VA, USA; 81100142484, Chris North, Virginia Polytechnic Institute and State University, Blacksburg, VA, USA; "
"CHI","10","http://dx.doi.org/10.1145/1753326.1753337","Effects of interior bezels of tiled-monitor large displays on visual search, tunnel steering, and target selection","10 ","8","88","673","experimentation; interior bezels; target selection; tunnel steering","10","81309485662, Xiaojun Bi, University of Toronto, Toronto, ON, Canada; 81392591403, Seok-Hyung Bae, University of Toronto, Toronto, ON, Canada; 81100503904, Ravin Balakrishnan, University of Toronto, Toronto, ON, Canada; "
"CHI","10","http://dx.doi.org/10.1145/1753326.1753338","Let's go from the whiteboard: supporting transitions in work through whiteboard capture and reuse","14 ","10","82","851","human factors; miscellaneous; workflow","10","81442598659, Stacy Branham, Virginia Tech, Blacksburg, VA, USA; 81100169417, Gene Golovchinsky, FX Palo Alto Laboratory, Inc., Palo Alto, CA, USA; 81405594119, Scott Carter, FX Palo Alto Laboratory, Inc., Palo Alto, CA, USA; 81100607745, Jacob T. Biehl, FX Palo Alto Laboratory, Inc., Palo Alto, CA, USA; "
"CHI","10","http://dx.doi.org/10.1145/1753326.1753340","Multitasking and monotasking: the effects of mental workload on deferred task interruptions","10 ","14","135","773","attention; design; human factors; instant messaging; multitasking; theory and methods","4","81100289294, Dario D. Salvucci, Drexel University, Philadelphia, PA, USA; 81416608326, Peter Bogunovich, Drexel University, Philadelphia, PA, USA; "
"CHI","10","http://dx.doi.org/10.1145/1753326.1753341","On reconstruction of task context after interruption","2 ","2","43","455","attention; human factors; human information processing; multitasking; theory and methods","4","81100289294, Dario D. Salvucci, Drexel University, Philadelphia, PA, USA; "
"CHI","10","http://dx.doi.org/10.1145/1753326.1753342","Evaluating cues for resuming interrupted programming tasks","8 ","42","102","545","cues; interruptions; user interfaces","10","81314484662, Chris Parnin, Georgia Institute of Technology, Atlanta, GA, USA; 81350602833, Robert DeLine, Microsoft Research, Redmond, WA, USA; "
"CHI","10","http://dx.doi.org/10.1145/1753326.1753343","Multitasking bar: prototype and evaluation of introducing the task concept into a browser","3 ","3","62","635","browser; experimentation; measurement; multiple sessions task; performance; tasks","10","81460651004, Qing Wang, Sun Yat-Sen University, Guangzhou, China; 81444595610, Huiyou Chang, Sun Yat-Sen University, Guangzhou, China; "
"CHI","10","http://dx.doi.org/10.1145/1753326.1753345","Across boundaries of influence and accountability: the multiple scales of public sector information systems","6 ","3","38","413","computer-supported collaborative work; design; human factors; organizational bound- aries","10","81367592039, Christopher A. Le Dantec, Georgia Institute of Technology, Atlanta, GA, USA; 81100595699, W. Keith Edwards, Georgia Institute of Technology, Atlanta, GA, USA; "
"CHI","10","http://dx.doi.org/10.1145/1753326.1753346","A case study of micro-blogging in the enterprise: use, value, and related issues","22 ","41","290","1,657","communications applications; human factors; social media; yammer","10","81350582266, Jun Zhang, Pitney Bowes Inc. , Shelton, CT, USA; 81100337837, Yan Qu, University of Maryland, College Park, MD, USA; 81460655487, Jane Cody, Pitney Bowes Inc., Shelton, CT, USA; 81460650711, Yulingling Wu, Pitney Bowes Inc., Shelton, CT, USA; "
"CHI","10","http://dx.doi.org/10.1145/1753326.1753347","Student socialization in the age of facebook","25 ","61","499","3,183","facebook; human factors; social networking","10","81331488921, Louise Barkhuus, University of California, San Diego, La Jolla, CA, USA; 81460645062, Juliana Tashiro, University of California, San Diego, La Jolla, CA, USA; "
